id,source,board,title,body,label,confidence,intensity,is_sarcasm,model
433209,DCINSIDE,chartanalysis,마스 불타기 마렵네..,,POSITIVE,85,60,False,gemini-3.6-flash
433215,COINPAN,free,비트코인,,NEUTRAL,30,0,False,gemini-3.6-flash
433206,DCINSIDE,bitcoins_new1,세력1팀 리스크 형이야,,NEUTRAL,60,0,False,gemini-3.6-flash
433207,DCINSIDE,bitcoins_new1,무방비일때를 노려야돼...jpg,,POSITIVE,60,50,False,gemini-3.6-flash
433210,DCINSIDE,chartanalysis,개 쥐좆시드인데도 유가 펀비 나가니까 50나가네,,NEGATIVE,85,-60,False,gemini-3.6-flash
433211,COINPAN,free,리스크 이새끼 뭐 한번 해보자는건가,,NEGATIVE,85,-65,False,gemini-3.6-flash
433208,DCINSIDE,bitcoins_new1,아직도 모르겠어? 먹는 사람은 따로 있어..,,NEGATIVE,85,-60,False,gemini-3.6-flash
433196,DCINSIDE,chartanalysis,매매 안하고 있는데 지랄낫노 ㅋㅋㅋ,,NEGATIVE,85,-60,False,gemini-3.6-flash
433197,DCINSIDE,chartanalysis,만약 니어가 이번시즌에,,NEUTRAL,60,0,False,gemini-3.6-flash
433195,DCINSIDE,bitcoins_new1,팬시 사고 함 칠 거니~ 왤케 꿈틀대 아까부터?,,POSITIVE,80,60,False,gemini-3.6-flash
433198,COINPAN,free,플록이 가라사대 어차피 1딸라갈꺼,,POSITIVE,90,85,False,gemini-3.6-flash
433199,COINPAN,free,"순환매 다 돌아서 AI, RWA 이미 올 초중순에 다해먹은 섹터인데",,NEGATIVE,85,-60,False,gemini-3.6-flash
433185,DCINSIDE,chartanalysis,아 랍스터 아침 6시에 눈떠서 꼭대기에 비비는거봤는데,,NEGATIVE,85,-60,False,gemini-3.6-flash
433183,DCINSIDE,bitcoins_new1,바닥 찍고 불장 신호옴 드가자!,,POSITIVE,95,85,False,gemini-3.6-flash
433186,DCINSIDE,chartanalysis,어흐,,NEUTRAL,30,0,False,gemini-3.6-flash
433187,COINPAN,free,중국코인 탔는데 검색을 못하네ㅅㅂ,,NEGATIVE,85,-60,False,gemini-3.6-flash
433184,DCINSIDE,bitcoins_new1,오늘 팬시 대폭발의 날임?,,POSITIVE,80,60,False,gemini-3.6-flash
433148,DCINSIDE,chartanalysis,여자 끼고 노는거 보니까 현타오네,,NEGATIVE,85,-40,False,gemini-3.6-flash
433152,COINPAN,free,북한군이 거의 매일 MDL을 넘습니다,,NEUTRAL,85,0,False,gemini-3.6-flash
433153,COINPAN,free,이더파이 내 숏 청산가 딱 찍고 내려가네 ㅋㅋㅋㅋ,,NEGATIVE,85,-70,True,gemini-3.6-flash
433146,DCINSIDE,bitcoins_new1,플록 굿,,POSITIVE,85,60,False,gemini-3.6-flash
433149,DCINSIDE,chartanalysis,님들 오늘아침으로사간돌려줘도 롱샤 롱치기 가능?,,NEUTRAL,60,0,False,gemini-3.6-flash
433147,DCINSIDE,bitcoins_new1,한번만 도와주세요,,NEGATIVE,60,-40,False,gemini-3.6-flash
433154,COINPAN,free,프롬 조만간 일내긋다,,POSITIVE,85,70,False,gemini-3.6-flash
433155,COINPAN,free,애들아 바운스빗 유의풀리기전에 숏쳐라 ㅋㅋ,,NEGATIVE,85,-70,False,gemini-3.6-flash
433156,COINPAN,free,체인링크 파멸적인 상승올것,,POSITIVE,90,85,False,gemini-3.6-flash
433150,DCINSIDE,chartanalysis,솔라나 이 씹새는 주말에 쳐 움직이고 지랄이야 ㅅㅂ,,NEGATIVE,90,-75,False,gemini-3.6-flash
433151,DCINSIDE,chartanalysis,유니는 반등가는데 니어뭐하냐,,NEGATIVE,85,-50,False,gemini-3.6-flash
433132,COINPAN,free,로또 왜 5000원도 안되냐,,NEGATIVE,85,-40,False,gemini-3.6-flash
433126,DCINSIDE,bitcoins_new1,그러게 팬시 웬일?,,POSITIVE,60,30,False,gemini-3.6-flash
433127,DCINSIDE,bitcoins_new1,트럼프빔 지나갑니다~!,,POSITIVE,85,70,False,gemini-3.6-flash
433128,DCINSIDE,bitcoins_new1,팬시 뭐 있나,,NEUTRAL,80,0,False,gemini-3.6-flash
